ID,Peso,Estatura,Edad,PctGrasaCorporal,EstadoCivil,ActividadFisica
3deb61b9,75.5,169.7,59.0,19.7,casado,1
bb45d139,98.6,176.2,37.0,15.9,casado,0
76558b96,92.6,168.2,21.0,13.9,casado,0
970c60d6,47.8,155.3,64.0,15.7,casado,1
c3306b2c,63.5,165.7,18.0,15.0,casado,1
8354490a,79.7,177.2,40.0,11.7,casado,0
c1f5a01e,64.6,186.5,45.0,10.1,soltero,0
e4e425b4,58.2,160.4,46.0,17.1,casado,1
933f1832,60.1,171.0,65.0,17.5,soltero,1
c9f8bc32,93.2,168.4,39.0,21.7,soltero,1
4c20581a,57.7,169.8,60.0,12.4,casado,0
822a0ae2,65.6,167.1,74.0,19.8,soltero,1
45eb25fc,64.0,199.5,45.0,8.3,soltero,0
b81727ff,78.3,181.5,71.0,15.6,soltero,0
a2eaa6f0,63.4,181.5,24.0,7.6,soltero,0
2b3603a7,71.8,158.7,65.0,22.6,soltero,1
c6ac0ef8,71.5,159.7,58.0,21.8,soltero,1
cb3622e3,90.0,169.5,23.0,13.4,casado,0
d2e6f7e0,78.8,152.2,39.0,22.9,soltero,1
26031143,61.3,156.5,41.0,18.4,casado,1
de665886,61.9,155.1,38.0,16.8,soltero,1
140edd57,75.4,179.5,52.0,18.0,casado,1
e6f8d81b,67.1,164.8,65.0,18.8,soltero,1
43fc7f84,78.0,178.7,19.0,10.8,soltero,0
68d536aa,57.1,150.8,47.0,18.5,soltero,1
b27fb4d8,85.0,189.1,61.0,13.3,divorciado,0
e119c550,92.3,165.5,43.0,18.6,casado,0
07547a44,40.0,176.8,38.0,10.9,casado,1
e4e8c2d1,66.8,168.5,56.0,19.4,casado,1
41c1ac8e,64.5,168.1,26.0,14.7,divorciado,1
513893b7,105.8,174.7,48.0,20.1,divorciado,0
2f46f16e,47.9,160.6,27.0,14.1,soltero,1
196349a2,68.3,186.9,34.0,9.1,soltero,0
3ed0b4cb,87.7,161.5,58.0,19.1,casado,0
b5ea91f6,,168.9,19.0,9.4,casado,0
4a7c5103,87.2,176.3,58.0,14.2,casado,0
cbaf87fe,75.1,180.4,24.0,9.5,soltero,0
69434726,74.4,173.7,51.0,17.1,soltero,1
af7e262a,85.8,192.5,39.0,12.1,divorciado,0
6e8941e1,68.9,171.9,20.0,9.5,casado,0
df0c9de9,72.0,177.0,61.0,13.9,soltero,0
a8c90896,61.1,153.4,53.0,18.9,casado,1
c50eecc4,61.7,164.6,30.0,14.7,soltero,1
d8c7d4dc,54.6,170.9,70.0,16.7,soltero,1
00eff60f,97.7,184.0,65.0,17.3,casado,0
4ae2f1f8,70.2,156.2,47.0,20.3,casado,1
acab5511,84.4,185.7,45.0,12.8,casado,0
d3313363,86.1,178.8,39.0,12.5,soltero,0
7ac62d17,82.8,190.7,70.0,13.5,casado,0
282f5946,50.0,180.6,60.0,9.6,casado,0
3e10d547,55.8,193.8,62.0,9.5,soltero,0
40758abb,86.2,181.1,26.0,12.7,casado,0
940185b7,82.4,185.7,62.0,14.8,soltero,0
82412a63,97.5,170.7,27.0,16.2,soltero,0
6a9ea955,76.0,175.1,46.0,13.4,casado,0
2c1509f4,61.9,165.0,65.0,14.4,soltero,0
8a71b050,40.0,159.8,40.0,11.3,casado,1
b29f251f,65.1,151.2,34.0,18.9,divorciado,1
35b99b8f,89.7,167.4,58.0,18.7,soltero,0
02436e3d,84.8,161.9,71.0,24.6,soltero,1
f79e46d0,48.4,166.0,66.0,15.7,soltero,1
78df48ef,48.3,156.8,57.0,15.7,soltero,1
c23152ea,80.3,178.9,43.0,14.2,casado,0
ee8c54e5,67.3,163.8,67.0,21.0,soltero,1
bddcb031,70.6,165.4,,15.9,casado,1
6820981e,73.4,181.5,66.0,13.8,divorciado,0
75fab0e1,49.8,174.3,47.0,14.0,casado,1
8cbd03a2,56.9,176.2,41.0,9.5,soltero,0
5fdc2f08,80.2,168.9,50.0,21.0,casado,1
8906cfb3,67.1,163.6,66.0,,casado,1
30882cf1,90.8,174.9,55.0,17.0,casado,0
d2081bdf,77.6,163.1,,24.2,casado,1
9bb7d948,92.7,172.2,70.0,23.7,divorciado,1
92a9afa3,80.8,164.1,46.0,15.3,casado,0
a9d052a0,75.6,162.8,73.0,17.7,divorciado,0
a1984893,88.6,175.0,23.0,17.2,casado,1
23640f1d,50.0,183.3,39.0,6.4,divorciado,0
272e7421,55.5,167.4,30.0,15.1,soltero,1
36375fff,50.5,159.9,68.0,18.5,soltero,1
af362fad,60.1,185.1,18.0,6.3,soltero,0
998f7254,55.9,152.3,65.0,20.3,casado,1
4897c262,65.0,182.3,33.0,7.4,casado,0
2b8d0279,76.8,176.2,70.0,16.8,soltero,0
396efee1,74.9,177.2,73.0,22.3,soltero,1
54879ce3,86.8,169.6,40.0,16.2,casado,0
904b7b9b,58.6,160.9,63.0,18.2,casado,1
b05fa155,78.6,158.5,54.0,22.9,casado,1
8759eb36,64.8,175.3,49.0,10.7,divorciado,0
8fe15c89,93.0,193.0,37.0,12.6,soltero,0
3ba43683,46.1,175.8,34.0,11.3,casado,1
8e250b0f,73.8,173.6,50.0,18.5,soltero,1
26f826ee,75.6,158.5,63.0,22.3,soltero,1
c0759fba,65.2,158.6,63.0,20.3,soltero,1
7f01bec4,50.9,165.6,64.0,17.7,soltero,1
19a2d5b6,70.4,156.1,71.0,22.7,soltero,1
2751095d,80.7,157.2,51.0,23.4,soltero,1
c988f903,60.5,185.8,67.0,11.8,casado,0
b7f47467,78.0,183.4,66.0,13.5,casado,0
50570061,65.5,161.2,38.0,16.8,casado,1
db83be6a,62.4,167.2,57.0,17.4,soltero,1
c79fce3b,70.9,177.4,44.0,10.3,casado,0
5e0a33a3,58.0,150.4,25.0,16.5,soltero,1
f378ba76,45.3,165.5,55.0,15.3,casado,1
66e9d623,60.2,155.8,43.0,17.3,soltero,1
d0d4a747,77.2,,19.0,11.1,casado,0
47c76f60,79.8,190.0,25.0,9.0,soltero,0
a910aa94,72.4,171.5,33.0,15.9,casado,1
92897405,93.0,159.8,42.0,20.2,casado,0
0f45ff4e,91.7,170.4,23.0,14.6,soltero,0
0730d4f4,86.9,176.9,39.0,13.9,soltero,0
f0c85c33,108.9,176.7,42.0,17.9,soltero,0
9e7cd7d7,72.5,185.9,45.0,10.1,casado,0
468dc443,89.1,160.7,62.0,20.5,casado,0
c3af196f,71.1,160.9,64.0,21.9,soltero,1
640f95e8,55.5,184.2,50.0,9.4,soltero,0
0531b741,,174.0,41.0,9.2,soltero,0
2b309083,75.8,176.8,58.0,,casado,0
2960d670,64.3,163.2,26.0,16.9,soltero,1
c4134b7b,82.6,192.5,71.0,13.8,casado,0
dbec35a6,117.0,169.8,70.0,24.1,soltero,0
efc7c028,65.5,156.6,61.0,21.2,soltero,1
58a0f1d6,69.3,182.2,64.0,11.7,casado,0
6b903c9f,50.5,189.0,62.0,9.0,casado,0
e1129360,91.8,195.1,59.0,14.0,casado,0
affc8876,66.3,161.5,35.0,17.7,soltero,1
1c5648bd,87.9,162.9,64.0,19.7,soltero,0
f09cc79c,84.3,176.7,51.0,15.9,soltero,0
20715ebd,50.0,180.4,48.0,7.9,soltero,0
3475ca39,68.8,150.7,29.0,19.0,casado,1
69094cd1,57.3,184.6,50.0,6.7,soltero,0
032e604e,43.4,165.1,34.0,11.7,soltero,1
1f948b02,55.5,163.7,21.0,12.6,soltero,1
b5e821d8,82.4,158.6,39.0,21.0,soltero,1
cbb27967,90.8,169.8,,13.5,soltero,0
ab574fca,52.2,164.6,30.0,14.4,casado,1
d4359e8c,105.6,170.5,68.0,22.3,casado,0
c28f1644,64.7,173.2,51.0,11.8,casado,0
113907ea,60.4,163.8,36.0,15.6,soltero,1
5136814c,95.2,170.8,28.0,14.3,casado,0
1ea837a2,50.0,169.2,30.0,7.5,casado,0
e1877fa1,,170.3,47.0,18.6,casado,1
9f076a2f,55.9,150.6,19.0,14.4,casado,1
02492c89,60.0,149.0,40.0,18.5,soltero,1
84262e29,57.8,162.2,31.0,10.3,soltero,0
1c34b84b,65.3,172.5,27.0,15.1,soltero,1
25b71933,103.7,179.8,38.0,17.1,casado,0
cc691c5c,76.0,158.0,38.0,19.6,casado,1
cb1c94c6,41.0,165.3,69.0,15.0,casado,1
dd55ed13,58.8,164.7,26.0,14.1,casado,1
07b1634c,78.3,178.3,29.0,11.3,casado,0
c83e4530,66.7,183.2,64.0,12.7,soltero,0
216a7913,76.1,169.1,45.0,19.0,soltero,1
ae847252,79.3,167.8,54.0,16.3,,0
6383fbbe,54.0,159.0,41.0,15.7,casado,1
6e2b53f3,76.4,153.5,65.0,19.3,,0
aa31ad16,84.6,175.8,67.0,16.9,soltero,0
15c4fa09,96.3,160.2,35.0,,soltero,0
9024fde2,60.6,160.3,67.0,20.1,soltero,1
fef4a7ae,44.2,167.9,40.0,11.5,soltero,1
5fd49595,104.6,174.3,69.0,20.7,soltero,0
68d81a76,99.2,180.9,54.0,17.5,casado,0
537e69bb,90.9,187.7,59.0,14.6,soltero,0
7d7ca5e8,75.1,170.3,55.0,20.8,soltero,1
43f4114e,64.4,174.3,20.0,8.7,casado,0
503797d1,63.1,161.7,47.0,17.4,soltero,1
e05656c7,74.6,150.8,38.0,16.4,soltero,0
9c05d1cf,43.7,172.4,28.0,11.0,casado,1
90ca1367,90.0,179.3,68.0,17.6,casado,0
028cd944,67.1,158.7,40.0,19.6,soltero,1
d69b40a2,74.4,176.9,71.0,15.8,divorciado,0
164da297,54.4,161.8,62.0,12.4,soltero,0
df6f0dcc,82.2,169.8,58.0,15.6,casado,0
3b9594eb,80.9,174.1,18.0,10.8,casado,0
f865e3c0,83.7,159.4,53.0,19.8,soltero,0
7f3f565d,95.0,168.3,73.0,20.9,soltero,0
b424278f,67.2,182.0,28.0,8.8,soltero,0
cc670eae,64.1,166.2,52.0,18.1,casado,1
de07886b,70.9,167.4,33.0,10.7,soltero,0
29341d4c,73.3,144.7,49.0,25.2,casado,1
b6df76f0,78.3,168.8,24.0,16.9,casado,1
20c878df,64.2,163.2,30.0,15.0,soltero,1
cebb21af,65.6,184.4,38.0,10.0,divorciado,0
c29a06f1,53.4,168.6,38.0,12.9,casado,1
5a47eb23,61.6,178.6,54.0,11.3,soltero,0
b62e7cd5,52.0,164.5,18.0,11.9,soltero,1
8242b616,71.4,176.3,23.0,10.8,divorciado,0
312d1059,95.8,182.0,27.0,12.9,soltero,0
3bfdb5c0,63.9,180.6,37.0,9.5,soltero,0
229edec8,87.4,160.2,61.0,24.2,divorciado,1
fe48dc02,97.8,176.9,44.0,16.6,soltero,0
16873655,60.3,193.8,37.0,6.3,casado,0
bd114ac2,64.7,168.9,53.0,17.1,divorciado,1
4c958c17,98.6,175.6,25.0,15.0,soltero,0
6a3bb9d2,97.9,174.8,71.0,19.4,casado,0
b30b2b18,67.4,161.5,35.0,17.5,soltero,1
f9018a8f,79.6,178.8,53.0,13.6,casado,0
680c04ce,67.6,175.4,41.0,10.7,soltero,0
f11b8a30,72.3,157.8,43.0,20.4,soltero,1
e3f61d11,96.3,192.7,45.0,13.3,casado,0
81b272d3,74.6,193.1,60.0,11.4,soltero,0
33140549,66.1,159.4,58.0,14.3,soltero,0
7c2486b6,80.0,171.6,30.0,13.4,soltero,0
cd89ca3a,71.5,156.9,55.0,21.4,casado,1
2905fb45,64.7,172.2,35.0,14.8,casado,1
deb050dd,81.0,175.6,71.0,16.9,soltero,0
8cb517e1,50.0,190.3,51.0,7.5,casado,0
5a6f8cd2,54.2,174.0,60.0,15.6,casado,1
a91f5c81,67.6,169.2,20.0,14.3,casado,1
cc02c5b0,117.7,188.9,74.0,20.6,soltero,0
90085b52,101.1,181.2,55.0,18.5,casado,0
e5f7dc71,90.4,172.1,24.0,13.8,soltero,0
b810ea6d,53.5,153.4,54.0,18.1,casado,1
4320472b,66.5,174.4,30.0,9.7,soltero,0
b3b4e4c7,78.9,164.1,47.0,20.7,soltero,1
f60ab0e4,77.2,156.0,56.0,21.5,divorciado,1
e22ba6fc,64.3,169.7,22.0,13.8,casado,1
c9add6fe,86.3,168.1,74.0,18.8,soltero,0
66dbd69c,55.3,168.7,27.0,7.8,divorciado,0
c19faada,45.0,175.1,47.0,13.5,casado,1
b9d2ffab,65.7,173.3,52.0,11.1,soltero,0
788df394,55.5,164.9,19.0,13.5,casado,1
55762a8f,62.3,167.6,32.0,16.0,casado,1
c283fd89,41.7,175.4,67.0,14.0,soltero,1
ad8a706b,64.5,150.5,49.0,20.5,casado,1
4e361602,90.9,169.4,29.0,15.1,casado,0
a10d0815,69.8,174.2,69.0,19.7,soltero,1
3e0b240a,69.9,161.1,49.0,14.8,casado,0
374c90c2,70.9,188.8,36.0,9.3,casado,0
9c1e3a6d,54.6,160.1,23.0,8.8,casado,0
aeb023d5,66.3,164.0,65.0,19.6,casado,1
b1b81bcd,40.0,162.8,35.0,10.5,soltero,1
b205fb82,76.0,174.4,57.0,14.7,casado,0
a0db3231,56.2,166.7,44.0,14.8,casado,1
49028f8c,70.1,181.2,24.0,9.6,soltero,0
9dfbc383,66.3,172.9,47.0,16.6,soltero,1
e6068f0d,61.8,171.4,35.0,14.9,casado,1
2f9d5d4d,81.2,163.8,22.0,19.0,soltero,1
e699b53f,60.3,169.5,53.0,16.5,casado,1
9b839ce9,100.2,179.9,27.0,14.8,soltero,0
5050149b,66.5,178.8,41.0,15.9,divorciado,1
b80e52e9,70.2,161.1,37.0,18.9,divorciado,1
d076a648,94.3,181.3,64.0,17.3,casado,0
e47176ce,60.6,155.1,32.0,16.3,casado,1
dc2eb377,96.3,168.0,18.0,14.9,soltero,0
03cb60a8,59.2,175.8,61.0,12.1,casado,0
6c1c8b18,53.7,163.8,47.0,15.6,soltero,1
2b7f92bb,84.8,183.2,53.0,13.9,soltero,0
f9dd6e13,74.6,169.8,63.0,15.0,casado,0
29adfc1a,67.9,167.3,67.0,15.2,soltero,0
7a86487f,55.1,170.3,29.0,13.9,casado,1
a9b1ebfc,65.4,159.1,23.0,15.6,divorciado,1
939727f2,82.6,172.8,18.0,11.6,casado,0
efa8aa40,74.8,163.8,68.0,16.6,casado,0
e70dfcdc,,160.2,55.0,19.6,casado,1
abeabc43,60.3,157.9,51.0,18.8,soltero,1
c2e87c41,70.1,153.5,35.0,13.6,soltero,0
62089d3c,76.8,177.0,60.0,14.0,casado,0
95757a98,85.4,182.1,23.0,10.2,soltero,0
0148cf0d,57.5,172.8,45.0,14.4,casado,1
bb21267d,75.9,192.5,26.0,8.5,soltero,0
39ebdd1d,,171.9,39.0,17.6,soltero,0
b268bd25,62.9,175.5,39.0,11.2,soltero,0
17d0ff28,43.3,172.4,29.0,10.1,soltero,1
663ee667,110.5,169.3,46.0,21.5,casado,0
c4909fe2,59.8,164.5,,18.0,soltero,1
b2714112,85.7,167.0,44.0,15.9,divorciado,0
effa4a4b,74.4,156.8,32.0,19.9,soltero,1
2ddc4d18,,156.1,38.0,17.4,casado,1
3eda8055,74.4,150.2,19.0,20.5,divorciado,1
b3745657,66.3,154.2,46.0,18.5,casado,1
92b095eb,55.4,162.8,59.0,17.9,casado,1
0d20042b,81.8,163.9,57.0,22.8,soltero,1
36a53d31,88.8,193.5,52.0,12.6,soltero,0
ac00e47b,48.2,167.1,72.0,15.3,divorciado,1
8afc0688,73.6,164.0,70.0,16.0,casado,0
781823bc,,183.7,34.0,10.5,casado,0
f4789f6f,63.5,164.4,29.0,14.7,soltero,1
621b3750,70.4,150.1,33.0,19.7,casado,1
38103529,89.1,170.6,48.0,16.2,soltero,0
159334e2,64.3,168.5,69.0,19.5,soltero,1
8d653d1a,67.7,166.6,48.0,18.4,soltero,1
33dbc064,69.0,152.1,63.0,23.1,soltero,1
34977d3b,69.1,168.1,,18.5,soltero,1
ce1c8647,79.2,158.3,51.0,16.5,casado,0
dda020f1,74.2,186.1,49.0,13.1,soltero,0
d0f64566,81.6,172.5,31.0,13.9,soltero,0
3f278f5b,69.4,162.9,63.0,20.3,casado,1
ac9b00e3,72.9,177.5,36.0,16.9,soltero,1
05527c7a,93.0,146.0,26.0,21.0,casado,0
4aedaf66,52.9,169.2,53.0,14.8,casado,1
75249ee3,70.0,151.7,46.0,20.9,soltero,1
fd503f00,76.0,164.5,74.0,18.1,soltero,0
1965664c,88.2,169.3,67.0,18.6,soltero,0
dbfc3030,72.4,169.4,66.0,15.5,soltero,0
4d99f455,66.7,170.2,40.0,11.1,casado,0
5cc8e63c,58.4,163.7,21.0,14.6,soltero,1
89ccd2d2,89.1,167.2,22.0,19.2,casado,1
e2993bf9,77.5,179.3,56.0,14.7,casado,0
0c1daf1a,92.0,185.4,26.0,12.3,soltero,0
5c5d5452,65.5,171.5,49.0,15.8,casado,1
014ee434,78.3,159.4,65.0,18.7,soltero,0
48ef9e6a,79.3,201.3,42.0,9.0,soltero,0
841377aa,55.9,167.7,45.0,15.3,soltero,1
9813a870,40.8,141.7,24.0,13.5,divorciado,1
f583b8cd,77.6,161.7,22.0,12.5,casado,0
28b04bca,82.0,167.9,43.0,16.4,soltero,0
1a4c9af2,63.1,162.9,69.0,19.9,casado,1
a99f5c18,76.2,181.5,74.0,14.7,casado,0
f92500f2,52.6,153.3,31.0,13.5,casado,1
4dcdb966,69.9,158.8,71.0,23.3,divorciado,1
d1420fe6,60.7,165.4,24.0,14.5,soltero,1
2f24fd46,72.5,191.7,54.0,10.7,casado,0
45c974f0,55.9,162.5,28.0,14.2,soltero,1
9cb48729,55.8,166.4,66.0,17.4,divorciado,1
a14d1306,72.1,180.5,22.0,10.5,casado,0
60826a9f,78.7,164.0,38.0,19.5,soltero,1
0e696e12,65.6,156.7,,16.9,soltero,1
a5d1bcfa,78.4,163.5,28.0,18.8,casado,1
25742e2a,67.5,158.5,32.0,18.0,soltero,1
7d873867,50.0,166.6,20.0,6.5,casado,0
b1c1e325,55.3,157.4,55.0,18.3,casado,1
655c5ff4,66.1,157.5,48.0,19.6,casado,1
26af32d6,83.8,156.3,50.0,23.7,casado,1
8b42dd06,75.9,164.5,25.0,18.1,soltero,1
1ef82342,51.0,164.8,70.0,17.8,casado,1
d3737f55,53.0,162.3,54.0,17.1,soltero,1
46bd5046,64.7,176.1,61.0,12.7,soltero,0
025743ce,75.5,172.8,43.0,13.9,,0
790e1f5c,40.0,160.0,34.0,12.3,divorciado,1
3d6deeac,68.1,178.2,27.0,10.0,casado,0
636fb894,83.9,179.7,43.0,13.0,casado,0
6347d8f6,51.6,150.0,34.0,16.4,soltero,1
a83326fd,71.0,164.0,36.0,12.5,casado,0
ee1de725,76.1,170.9,38.0,18.7,casado,1
8b7e9170,77.1,189.8,54.0,12.4,casado,0
8843c748,66.4,158.6,26.0,16.0,divorciado,1
93d60128,65.8,164.8,43.0,16.8,casado,1
f8e25af8,72.6,151.0,33.0,20.9,casado,1
ee88d257,75.3,159.8,60.0,16.7,soltero,0
0a08f75f,67.6,154.2,44.0,20.9,casado,1
ca35ca4b,102.2,164.7,51.0,19.4,casado,0
a0d95fdd,72.3,153.4,21.0,18.5,soltero,1
e5478254,48.7,172.4,35.0,12.9,casado,1
a02ee791,64.3,160.7,60.0,19.3,,1
50216b3e,96.1,180.2,49.0,15.6,casado,0
4405b394,81.6,173.2,60.0,15.3,casado,0
5cfe1509,110.4,185.9,74.0,20.4,soltero,0
874eb18d,76.3,163.2,61.0,21.8,casado,1
ed396bba,88.6,189.4,34.0,11.9,casado,0
af16a4bb,45.7,170.4,67.0,16.0,soltero,1
9b7f8a09,77.7,177.5,30.0,11.7,divorciado,0
4dfeef9e,64.9,147.9,70.0,23.8,soltero,1
b091fe3b,60.3,145.6,40.0,19.3,divorciado,1
29c99981,74.0,170.1,52.0,18.3,soltero,1
45a08d96,59.2,153.4,55.0,20.0,casado,1
b3ab7dd6,76.2,180.7,40.0,11.4,casado,0
fde66b5d,73.6,179.7,46.0,11.7,soltero,0
bbc2481d,76.7,188.8,30.0,9.4,soltero,0
3172917f,88.9,174.1,27.0,19.4,soltero,1
c1088686,80.6,170.4,35.0,14.4,soltero,0
8274c32c,56.7,163.9,64.0,13.4,soltero,0
2bb529d0,68.9,171.4,21.0,9.8,soltero,0
3c3dfcab,56.3,164.8,25.0,13.7,casado,1
4db3aaa7,82.5,152.1,60.0,26.8,soltero,1
ab74c251,64.0,168.2,46.0,12.2,soltero,0
d16ed189,72.6,153.6,31.0,19.8,divorciado,1
492f6b0a,80.2,180.4,68.0,16.2,soltero,0
22ad9060,68.7,185.2,35.0,8.7,divorciado,0
8a6a0e87,79.5,165.2,70.0,17.1,casado,0
7c738d15,63.0,174.0,62.0,12.1,casado,0
9ed3dad0,71.9,158.4,57.0,22.3,soltero,1
1947427e,59.4,173.9,40.0,10.4,soltero,0
e01ce5d3,77.5,166.6,61.0,21.4,casado,1
5c9db06a,78.3,146.3,74.0,26.1,soltero,1
4b40c771,70.8,169.4,35.0,10.4,soltero,0
65b936dc,80.5,180.7,74.0,21.6,soltero,1
477ab237,84.5,172.9,43.0,15.1,soltero,0
e3c2e716,76.6,169.1,20.0,17.4,soltero,1
ef6c200e,75.9,155.2,52.0,18.1,casado,0
e5038c3e,92.9,186.3,42.0,13.7,soltero,0
11e8a4d5,89.0,172.6,24.0,14.0,soltero,0
3cc589c3,52.6,173.0,62.0,15.6,casado,1
24195d42,92.3,163.4,64.0,20.3,soltero,0
6ec88380,71.6,151.6,31.0,19.7,soltero,1
0905d7c9,70.8,163.5,45.0,18.3,soltero,1
707ac28d,62.8,167.8,29.0,14.8,casado,1
a1dbd747,97.1,161.5,29.0,22.3,soltero,1
8fe80be4,57.5,170.5,74.0,17.9,casado,1
bc987a0c,68.7,159.1,38.0,19.2,casado,1
0a761ef0,57.5,169.9,55.0,11.8,soltero,0
5f8927ea,57.7,168.8,71.0,17.5,casado,1
c62030b3,55.7,158.3,24.0,13.4,casado,1
8f2d205c,97.2,174.7,64.0,19.1,soltero,0
542cc0e6,72.7,178.7,19.0,9.3,soltero,0
5fe6c017,52.9,173.0,40.0,14.0,soltero,1
92f885fd,91.9,174.7,42.0,14.1,soltero,0
2a173445,51.9,153.6,35.0,16.2,soltero,1
2e3f4a90,100.7,174.0,57.0,19.1,casado,0
37fef117,66.0,170.7,55.0,11.5,casado,0
da8a038a,60.5,159.4,41.0,18.0,soltero,1
f89a745e,77.0,162.5,70.0,23.8,divorciado,1
dc3237de,81.9,166.0,41.0,16.1,casado,0
1517fd78,56.0,166.3,37.0,15.5,soltero,1
6384d58f,52.7,155.6,44.0,14.9,casado,1
9a76bd4a,58.2,158.8,23.0,12.9,soltero,1
ceae1974,81.3,168.0,40.0,15.3,soltero,0
bc416992,65.4,168.1,37.0,16.3,soltero,1
fd405ec7,65.7,160.2,48.0,20.0,soltero,1
94c7e6e7,56.6,178.2,52.0,14.8,divorciado,1
3e200b1d,65.6,177.3,21.0,8.6,casado,0
ab36addb,82.5,173.4,71.0,17.3,casado,0
8a63b7a5,53.9,162.8,73.0,18.6,casado,1
570b16c7,76.6,177.0,58.0,15.5,soltero,0
b1141c68,68.2,157.5,23.0,16.5,soltero,1
8138c533,98.6,168.6,72.0,20.6,casado,0
b09aed3b,87.5,186.5,21.0,10.6,divorciado,0
f48ac5f9,45.7,158.3,42.0,14.4,casado,1
25774681,82.3,161.0,73.0,19.8,soltero,0
9ca70e2b,86.3,170.0,27.0,18.0,soltero,1
20eb4f1d,59.7,180.1,35.0,14.8,casado,1
61fa2c92,82.3,164.6,27.0,15.1,soltero,0
5f2e3c3d,95.6,166.5,66.0,20.9,soltero,0
3f05cb8f,40.0,161.8,55.0,13.7,soltero,1
dc24b854,53.1,163.3,28.0,13.2,casado,1
ad0a87fa,47.3,155.1,59.0,16.8,divorciado,1
7f990f7a,90.4,175.8,71.0,18.5,soltero,0
26ac4fba,69.4,168.9,62.0,19.6,casado,1
ccabcc6b,78.3,179.9,35.0,12.4,casado,0
4ca3390a,58.5,157.0,22.0,14.5,soltero,1
a34f83c3,62.6,156.5,29.0,16.3,divorciado,1
c0463cdc,97.2,,70.0,30.0,divorciado,1
0d2b2b67,74.2,175.1,29.0,10.6,casado,0
94a58d8c,62.1,180.1,54.0,9.6,soltero,0
2e5ba8eb,72.5,170.5,73.0,15.6,soltero,0
9d44d483,62.9,167.9,71.0,18.0,casado,1
e74c1d88,94.1,169.2,31.0,14.2,soltero,0
08c0041e,76.1,177.4,73.0,15.6,soltero,0
b34f838f,62.3,154.3,64.0,17.0,casado,0
45be631a,94.1,183.8,74.0,18.1,casado,0
041e76ac,53.2,156.8,38.0,16.6,casado,1
a517ad49,82.9,169.4,37.0,13.7,casado,0
cc30e206,73.6,167.3,57.0,20.1,soltero,1
