Peso,Estatura,Edad,PctGrasaCorporal,EstadoCivil,ActividadFisica
57.1,150.8,47.0,18.5,soltero,1
85.0,189.1,61.0,13.3,divorciado,0
92.3,165.5,43.0,18.6,casado,0
40.0,176.8,38.0,10.9,casado,1
66.8,168.5,56.0,19.4,casado,1
64.5,168.1,26.0,14.7,divorciado,1
105.8,174.7,48.0,20.1,divorciado,0
47.9,160.6,27.0,14.1,soltero,1
68.3,186.9,34.0,9.1,soltero,0
87.7,161.5,58.0,19.1,casado,0
,168.9,19.0,9.4,casado,0
87.2,176.3,58.0,14.2,casado,0
75.1,180.4,24.0,9.5,soltero,0
74.4,173.7,51.0,17.1,soltero,1
85.8,192.5,39.0,12.1,divorciado,0
68.9,171.9,20.0,9.5,casado,0
72.0,177.0,61.0,13.9,soltero,0
61.1,153.4,53.0,18.9,casado,1
61.7,164.6,30.0,14.7,soltero,1
54.6,170.9,70.0,16.7,soltero,1
97.7,184.0,65.0,17.3,casado,0
70.2,156.2,47.0,20.3,casado,1
84.4,185.7,45.0,12.8,casado,0
86.1,178.8,39.0,12.5,soltero,0
82.8,190.7,70.0,13.5,casado,0
50.0,180.6,60.0,9.6,casado,0
55.8,193.8,62.0,9.5,soltero,0
86.2,181.1,26.0,12.7,casado,0
82.4,185.7,62.0,14.8,soltero,0
97.5,170.7,27.0,16.2,soltero,0
76.0,175.1,46.0,13.4,casado,0
61.9,165.0,65.0,14.4,soltero,0
40.0,159.8,40.0,11.3,casado,1
65.1,151.2,34.0,18.9,divorciado,1
89.7,167.4,58.0,18.7,soltero,0
84.8,161.9,71.0,24.6,soltero,1
48.4,166.0,66.0,15.7,soltero,1
48.3,156.8,57.0,15.7,soltero,1
80.3,178.9,43.0,14.2,casado,0
67.3,163.8,67.0,21.0,soltero,1
70.6,165.4,,15.9,casado,1
73.4,181.5,66.0,13.8,divorciado,0
49.8,174.3,47.0,14.0,casado,1
56.9,176.2,41.0,9.5,soltero,0
80.2,168.9,50.0,21.0,casado,1
67.1,163.6,66.0,,casado,1
90.8,174.9,55.0,17.0,casado,0
77.6,163.1,,24.2,casado,1
92.7,172.2,70.0,23.7,divorciado,1
80.8,164.1,46.0,15.3,casado,0
75.6,162.8,73.0,17.7,divorciado,0
88.6,175.0,23.0,17.2,casado,1
50.0,183.3,39.0,6.4,divorciado,0
55.5,167.4,30.0,15.1,soltero,1
50.5,159.9,68.0,18.5,soltero,1
60.1,185.1,18.0,6.3,soltero,0
55.9,152.3,65.0,20.3,casado,1
65.0,182.3,33.0,7.4,casado,0
76.8,176.2,70.0,16.8,soltero,0
74.9,177.2,73.0,22.3,soltero,1
86.8,169.6,40.0,16.2,casado,0
58.6,160.9,63.0,18.2,casado,1
78.6,158.5,54.0,22.9,casado,1
64.8,175.3,49.0,10.7,divorciado,0
93.0,193.0,37.0,12.6,soltero,0
46.1,175.8,34.0,11.3,casado,1
73.8,173.6,50.0,18.5,soltero,1
75.6,158.5,63.0,22.3,soltero,1
65.2,158.6,63.0,20.3,soltero,1
50.9,165.6,64.0,17.7,soltero,1
70.4,156.1,71.0,22.7,soltero,1
80.7,157.2,51.0,23.4,soltero,1
60.5,185.8,67.0,11.8,casado,0
78.0,183.4,66.0,13.5,casado,0
65.5,161.2,38.0,16.8,casado,1
62.4,167.2,57.0,17.4,soltero,1
70.9,177.4,44.0,10.3,casado,0
58.0,150.4,25.0,16.5,soltero,1
45.3,165.5,55.0,15.3,casado,1
60.2,155.8,43.0,17.3,soltero,1
77.2,,19.0,11.1,casado,0
79.8,190.0,25.0,9.0,soltero,0
72.4,171.5,33.0,15.9,casado,1
93.0,159.8,42.0,20.2,casado,0
91.7,170.4,23.0,14.6,soltero,0
86.9,176.9,39.0,13.9,soltero,0
108.9,176.7,42.0,17.9,soltero,0
72.5,185.9,45.0,10.1,casado,0
89.1,160.7,62.0,20.5,casado,0
71.1,160.9,64.0,21.9,soltero,1
55.5,184.2,50.0,9.4,soltero,0
,174.0,41.0,9.2,soltero,0
75.8,176.8,58.0,,casado,0
64.3,163.2,26.0,16.9,soltero,1
82.6,192.5,71.0,13.8,casado,0
117.0,169.8,70.0,24.1,soltero,0
65.5,156.6,61.0,21.2,soltero,1
69.3,182.2,64.0,11.7,casado,0
50.5,189.0,62.0,9.0,casado,0
91.8,195.1,59.0,14.0,casado,0
66.3,161.5,35.0,17.7,soltero,1
87.9,162.9,64.0,19.7,soltero,0
84.3,176.7,51.0,15.9,soltero,0
50.0,180.4,48.0,7.9,soltero,0
68.8,150.7,29.0,19.0,casado,1
57.3,184.6,50.0,6.7,soltero,0
43.4,165.1,34.0,11.7,soltero,1
55.5,163.7,21.0,12.6,soltero,1
82.4,158.6,39.0,21.0,soltero,1
90.8,169.8,,13.5,soltero,0
52.2,164.6,30.0,14.4,casado,1
105.6,170.5,68.0,22.3,casado,0
64.7,173.2,51.0,11.8,casado,0
60.4,163.8,36.0,15.6,soltero,1
95.2,170.8,28.0,14.3,casado,0
50.0,169.2,30.0,7.5,casado,0
,170.3,47.0,18.6,casado,1
55.9,150.6,19.0,14.4,casado,1
60.0,149.0,40.0,18.5,soltero,1
57.8,162.2,31.0,10.3,soltero,0
65.3,172.5,27.0,15.1,soltero,1
103.7,179.8,38.0,17.1,casado,0
76.0,158.0,38.0,19.6,casado,1
41.0,165.3,69.0,15.0,casado,1
58.8,164.7,26.0,14.1,casado,1
78.3,178.3,29.0,11.3,casado,0
66.7,183.2,64.0,12.7,soltero,0
76.1,169.1,45.0,19.0,soltero,1
79.3,167.8,54.0,16.3,,0
54.0,159.0,41.0,15.7,casado,1
76.4,153.5,65.0,19.3,,0
84.6,175.8,67.0,16.9,soltero,0
96.3,160.2,35.0,,soltero,0
60.6,160.3,67.0,20.1,soltero,1
44.2,167.9,40.0,11.5,soltero,1
104.6,174.3,69.0,20.7,soltero,0
99.2,180.9,54.0,17.5,casado,0
90.9,187.7,59.0,14.6,soltero,0
75.1,170.3,55.0,20.8,soltero,1
64.4,174.3,20.0,8.7,casado,0
63.1,161.7,47.0,17.4,soltero,1
74.6,150.8,38.0,16.4,soltero,0
43.7,172.4,28.0,11.0,casado,1
90.0,179.3,68.0,17.6,casado,0
67.1,158.7,40.0,19.6,soltero,1
74.4,176.9,71.0,15.8,divorciado,0
54.4,161.8,62.0,12.4,soltero,0
82.2,169.8,58.0,15.6,casado,0
80.9,174.1,18.0,10.8,casado,0
83.7,159.4,53.0,19.8,soltero,0
95.0,168.3,73.0,20.9,soltero,0
67.2,182.0,28.0,8.8,soltero,0
64.1,166.2,52.0,18.1,casado,1
70.9,167.4,33.0,10.7,soltero,0
73.3,144.7,49.0,25.2,casado,1
78.3,168.8,24.0,16.9,casado,1
64.2,163.2,30.0,15.0,soltero,1
65.6,184.4,38.0,10.0,divorciado,0
53.4,168.6,38.0,12.9,casado,1
61.6,178.6,54.0,11.3,soltero,0
52.0,164.5,18.0,11.9,soltero,1
71.4,176.3,23.0,10.8,divorciado,0
95.8,182.0,27.0,12.9,soltero,0
63.9,180.6,37.0,9.5,soltero,0
87.4,160.2,61.0,24.2,divorciado,1
97.8,176.9,44.0,16.6,soltero,0
60.3,193.8,37.0,6.3,casado,0
64.7,168.9,53.0,17.1,divorciado,1
98.6,175.6,25.0,15.0,soltero,0
97.9,174.8,71.0,19.4,casado,0
67.4,161.5,35.0,17.5,soltero,1
79.6,178.8,53.0,13.6,casado,0
67.6,175.4,41.0,10.7,soltero,0
72.3,157.8,43.0,20.4,soltero,1
96.3,192.7,45.0,13.3,casado,0
74.6,193.1,60.0,11.4,soltero,0
66.1,159.4,58.0,14.3,soltero,0
80.0,171.6,30.0,13.4,soltero,0
71.5,156.9,55.0,21.4,casado,1
64.7,172.2,35.0,14.8,casado,1
81.0,175.6,71.0,16.9,soltero,0
50.0,190.3,51.0,7.5,casado,0
54.2,174.0,60.0,15.6,casado,1
67.6,169.2,20.0,14.3,casado,1
117.7,188.9,74.0,20.6,soltero,0
101.1,181.2,55.0,18.5,casado,0
167.03318157652407,172.1,24.0,56.4701500299284,soltero,0
53.5,153.4,54.0,18.1,casado,1
66.5,174.4,30.0,9.7,soltero,0
78.9,164.1,47.0,20.7,soltero,1
77.2,156.0,56.0,21.5,divorciado,1
64.3,169.7,22.0,13.8,casado,1
86.3,168.1,74.0,18.8,soltero,0
55.3,168.7,27.0,7.8,divorciado,0
45.0,175.1,47.0,13.5,casado,1
65.7,173.3,52.0,11.1,soltero,0
55.5,164.9,19.0,13.5,casado,1
62.3,167.6,32.0,16.0,casado,1
41.7,175.4,67.0,14.0,soltero,1
64.5,150.5,49.0,20.5,casado,1
90.9,169.4,29.0,15.1,casado,0
69.8,174.2,69.0,19.7,soltero,1
69.9,161.1,49.0,14.8,casado,0
70.9,188.8,36.0,9.3,casado,0
54.6,160.1,23.0,8.8,casado,0
66.3,164.0,65.0,19.6,casado,1
40.0,162.8,35.0,10.5,soltero,1
76.0,174.4,57.0,14.7,casado,0
56.2,166.7,44.0,14.8,casado,1
70.1,181.2,24.0,9.6,soltero,0
66.3,172.9,47.0,16.6,soltero,1
61.8,171.4,35.0,14.9,casado,1
81.2,163.8,22.0,19.0,soltero,1
60.3,169.5,53.0,16.5,casado,1
100.2,179.9,27.0,14.8,soltero,0
66.5,178.8,41.0,15.9,divorciado,1
70.2,161.1,37.0,18.9,divorciado,1
94.3,181.3,64.0,17.3,casado,0
60.6,155.1,32.0,16.3,casado,1
96.3,168.0,18.0,14.9,soltero,0
59.2,175.8,61.0,12.1,casado,0
53.7,163.8,47.0,15.6,soltero,1
84.8,183.2,53.0,13.9,soltero,0
74.6,169.8,63.0,15.0,casado,0
67.9,167.3,67.0,15.2,soltero,0
55.1,170.3,29.0,13.9,casado,1
65.4,159.1,23.0,15.6,divorciado,1
82.6,172.8,18.0,11.6,casado,0
74.8,163.8,68.0,16.6,casado,0
,160.2,55.0,19.6,casado,1
60.3,157.9,51.0,18.8,soltero,1
70.1,153.5,35.0,13.6,soltero,0
76.8,177.0,60.0,14.0,casado,0
85.4,182.1,23.0,10.2,soltero,0
57.5,172.8,45.0,14.4,casado,1
75.9,192.5,26.0,8.5,soltero,0
,171.9,39.0,17.6,soltero,0
62.9,175.5,39.0,11.2,soltero,0
43.3,172.4,29.0,10.1,soltero,1
110.5,169.3,46.0,21.5,casado,0
59.8,164.5,,18.0,soltero,1
85.7,167.0,44.0,15.9,divorciado,0
74.4,156.8,32.0,19.9,soltero,1
,156.1,38.0,17.4,casado,1
74.4,150.2,19.0,20.5,divorciado,1
66.3,154.2,46.0,18.5,casado,1
55.4,162.8,59.0,17.9,casado,1
81.8,163.9,57.0,22.8,soltero,1
88.8,193.5,52.0,12.6,soltero,0
48.2,167.1,72.0,15.3,divorciado,1
73.6,164.0,70.0,16.0,casado,0
,183.7,34.0,10.5,casado,0
63.5,164.4,29.0,14.7,soltero,1
70.4,150.1,33.0,19.7,casado,1
89.1,170.6,48.0,16.2,soltero,0
64.3,168.5,69.0,19.5,soltero,1
67.7,166.6,48.0,18.4,soltero,1
69.0,152.1,63.0,23.1,soltero,1
69.1,168.1,,18.5,soltero,1
79.2,158.3,51.0,16.5,casado,0
74.2,186.1,49.0,13.1,soltero,0
81.6,172.5,31.0,13.9,soltero,0
69.4,162.9,63.0,20.3,casado,1
72.9,177.5,36.0,16.9,soltero,1
93.0,146.0,26.0,21.0,casado,0
52.9,169.2,53.0,14.8,casado,1
70.0,151.7,46.0,20.9,soltero,1
76.0,164.5,74.0,18.1,soltero,0
88.2,169.3,67.0,18.6,soltero,0
72.4,169.4,66.0,15.5,soltero,0
66.7,170.2,40.0,11.1,casado,0
58.4,163.7,21.0,14.6,soltero,1
89.1,167.2,22.0,19.2,casado,1
77.5,179.3,56.0,14.7,casado,0
92.0,185.4,26.0,12.3,soltero,0
65.5,171.5,49.0,15.8,casado,1
78.3,159.4,65.0,18.7,soltero,0
79.3,201.3,42.0,9.0,soltero,0
55.9,167.7,45.0,15.3,soltero,1
40.8,141.7,24.0,13.5,divorciado,1
77.6,161.7,22.0,12.5,casado,0
82.0,167.9,43.0,16.4,soltero,0
63.1,162.9,69.0,19.9,casado,1
76.2,181.5,74.0,14.7,casado,0
52.6,153.3,31.0,13.5,casado,1
69.9,158.8,71.0,23.3,divorciado,1
60.7,165.4,24.0,14.5,soltero,1
199.13209064077392,191.7,54.0,92.61182624879555,casado,0
55.9,162.5,28.0,14.2,soltero,1
55.8,166.4,66.0,17.4,divorciado,1
72.1,180.5,22.0,10.5,casado,0
78.7,164.0,38.0,19.5,soltero,1
65.6,156.7,,16.9,soltero,1
78.4,163.5,28.0,18.8,casado,1
67.5,158.5,32.0,18.0,soltero,1
50.0,166.6,20.0,6.5,casado,0
55.3,157.4,55.0,18.3,casado,1
66.1,157.5,48.0,19.6,casado,1
83.8,156.3,50.0,23.7,casado,1
75.9,164.5,25.0,18.1,soltero,1
51.0,164.8,70.0,17.8,casado,1
53.0,162.3,54.0,17.1,soltero,1
64.7,176.1,61.0,12.7,soltero,0
75.5,172.8,43.0,13.9,,0
40.0,160.0,34.0,12.3,divorciado,1
68.1,178.2,27.0,10.0,casado,0
239.24525360122055,179.7,43.0,80.39855837990812,casado,0
51.6,150.0,34.0,16.4,soltero,1
71.0,164.0,36.0,12.5,casado,0
76.1,170.9,38.0,18.7,casado,1
77.1,189.8,54.0,12.4,casado,0
66.4,158.6,26.0,16.0,divorciado,1
65.8,164.8,43.0,16.8,casado,1
72.6,151.0,33.0,20.9,casado,1
75.3,159.8,60.0,16.7,soltero,0
67.6,154.2,44.0,20.9,casado,1
102.2,164.7,51.0,19.4,casado,0
72.3,153.4,21.0,18.5,soltero,1
48.7,172.4,35.0,12.9,casado,1
64.3,160.7,60.0,19.3,,1
96.1,180.2,49.0,15.6,casado,0
81.6,173.2,60.0,15.3,casado,0
110.4,185.9,74.0,20.4,soltero,0
76.3,163.2,61.0,21.8,casado,1
88.6,189.4,34.0,11.9,casado,0
45.7,170.4,67.0,16.0,soltero,1
77.7,177.5,30.0,11.7,divorciado,0
64.9,147.9,70.0,23.8,soltero,1
60.3,145.6,40.0,19.3,divorciado,1
74.0,170.1,52.0,18.3,soltero,1
202.1507612203367,153.4,55.0,71.47745617603377,casado,1
76.2,180.7,40.0,11.4,casado,0
73.6,179.7,46.0,11.7,soltero,0
76.7,188.8,30.0,9.4,soltero,0
88.9,174.1,27.0,19.4,soltero,1
80.6,170.4,35.0,14.4,soltero,0
56.7,163.9,64.0,13.4,soltero,0
68.9,171.4,21.0,9.8,soltero,0
56.3,164.8,25.0,13.7,casado,1
82.5,152.1,60.0,26.8,soltero,1
64.0,168.2,46.0,12.2,soltero,0
72.6,153.6,31.0,19.8,divorciado,1
80.2,180.4,68.0,16.2,soltero,0
68.7,185.2,35.0,8.7,divorciado,0
79.5,165.2,70.0,17.1,casado,0
63.0,174.0,62.0,12.1,casado,0
71.9,158.4,57.0,22.3,soltero,1
59.4,173.9,40.0,10.4,soltero,0
77.5,166.6,61.0,21.4,casado,1
78.3,146.3,74.0,26.1,soltero,1
70.8,169.4,35.0,10.4,soltero,0
80.5,180.7,74.0,21.6,soltero,1
84.5,172.9,43.0,15.1,soltero,0
76.6,169.1,20.0,17.4,soltero,1
75.9,155.2,52.0,18.1,casado,0
92.9,186.3,42.0,13.7,soltero,0
89.0,172.6,24.0,14.0,soltero,0
52.6,173.0,62.0,15.6,casado,1
92.3,163.4,64.0,20.3,soltero,0
71.6,151.6,31.0,19.7,soltero,1
70.8,163.5,45.0,18.3,soltero,1
62.8,167.8,29.0,14.8,casado,1
97.1,161.5,29.0,22.3,soltero,1
57.5,170.5,74.0,17.9,casado,1
68.7,159.1,38.0,19.2,casado,1
57.5,169.9,55.0,11.8,soltero,0
57.7,168.8,71.0,17.5,casado,1
55.7,158.3,24.0,13.4,casado,1
97.2,174.7,64.0,19.1,soltero,0
72.7,178.7,19.0,9.3,soltero,0
52.9,173.0,40.0,14.0,soltero,1
91.9,174.7,42.0,14.1,soltero,0
51.9,153.6,35.0,16.2,soltero,1
100.7,174.0,57.0,19.1,casado,0
66.0,170.7,55.0,11.5,casado,0
60.5,159.4,41.0,18.0,soltero,1
77.0,162.5,70.0,23.8,divorciado,1
81.9,166.0,41.0,16.1,casado,0
56.0,166.3,37.0,15.5,soltero,1
296.09108753598855,155.6,44.0,55.12922801655104,casado,1
58.2,158.8,23.0,12.9,soltero,1
81.3,168.0,40.0,15.3,soltero,0
65.4,168.1,37.0,16.3,soltero,1
65.7,160.2,48.0,20.0,soltero,1
56.6,178.2,52.0,14.8,divorciado,1
65.6,177.3,21.0,8.6,casado,0
82.5,173.4,71.0,17.3,casado,0
53.9,162.8,73.0,18.6,casado,1
76.6,177.0,58.0,15.5,soltero,0
68.2,157.5,23.0,16.5,soltero,1
98.6,168.6,72.0,20.6,casado,0
87.5,186.5,21.0,10.6,divorciado,0
45.7,158.3,42.0,14.4,casado,1
82.3,161.0,73.0,19.8,soltero,0
86.3,170.0,27.0,18.0,soltero,1
59.7,180.1,35.0,14.8,casado,1
82.3,164.6,27.0,15.1,soltero,0
95.6,166.5,66.0,20.9,soltero,0
40.0,161.8,55.0,13.7,soltero,1
53.1,163.3,28.0,13.2,casado,1
47.3,155.1,59.0,16.8,divorciado,1
90.4,175.8,71.0,18.5,soltero,0
69.4,168.9,62.0,19.6,casado,1
78.3,179.9,35.0,12.4,casado,0
58.5,157.0,22.0,14.5,soltero,1
62.6,156.5,29.0,16.3,divorciado,1
97.2,,70.0,30.0,divorciado,1
74.2,175.1,29.0,10.6,casado,0
62.1,180.1,54.0,9.6,soltero,0
72.5,170.5,73.0,15.6,soltero,0
62.9,167.9,71.0,18.0,casado,1
94.1,169.2,31.0,14.2,soltero,0
76.1,177.4,73.0,15.6,soltero,0
62.3,154.3,64.0,17.0,casado,0
94.1,183.8,74.0,18.1,casado,0
53.2,156.8,38.0,16.6,casado,1
82.9,169.4,37.0,13.7,casado,0
73.6,167.3,57.0,20.1,soltero,1
63.5,172.2,19.0,13.1,casado,1
73.2,146.3,25.0,20.8,divorciado,1
87.8,196.5,67.0,14.3,soltero,0
82.5,193.0,33.0,8.4,soltero,0
55.0,171.4,61.0,17.6,casado,1
76.2,182.4,46.0,11.3,casado,0
66.2,176.1,43.0,14.9,casado,1
76.8,181.1,59.0,14.1,casado,0
89.2,180.9,69.0,17.6,,0
58.9,175.8,36.0,14.3,soltero,1
74.6,172.3,28.0,10.8,casado,0
83.5,165.1,29.0,14.5,casado,0
72.5,158.4,24.0,18.6,soltero,1
65.8,164.5,56.0,18.5,divorciado,1
71.4,165.4,59.0,20.2,soltero,1
62.4,169.5,72.0,18.5,soltero,1
61.1,166.6,34.0,15.8,casado,1
78.2,159.1,68.0,23.2,soltero,1
90.2,148.2,65.0,29.2,soltero,1
86.7,168.7,28.0,13.6,casado,0
62.6,168.0,64.0,14.0,casado,0
65.8,153.4,21.0,17.3,casado,1
76.1,158.0,19.0,17.5,soltero,1
74.4,162.5,67.0,16.8,divorciado,0
56.1,179.0,74.0,,casado,0
62.1,159.4,45.0,17.8,casado,1
101.1,162.2,67.0,,casado,0
74.2,147.6,36.0,20.8,casado,1
74.9,191.3,41.0,9.4,soltero,0
83.0,154.2,32.0,20.7,casado,1
76.6,158.1,36.0,20.7,divorciado,1
94.9,179.4,52.0,16.9,casado,0
66.6,172.3,20.0,8.4,soltero,0
72.5,141.8,24.0,21.1,soltero,1
76.7,164.4,70.0,22.7,casado,1
64.1,143.1,72.0,23.2,casado,1
71.2,172.0,19.0,15.8,soltero,1
78.5,158.5,61.0,18.2,casado,0
65.7,164.9,59.0,19.8,soltero,1
74.8,186.4,31.0,9.1,soltero,0
46.8,158.1,51.0,14.0,casado,1
57.8,184.9,42.0,8.3,casado,0
190.87967535603102,158.1,66.0,51.413235052498884,divorciado,0
57.4,163.9,36.0,13.9,soltero,1
63.4,176.9,25.0,9.2,soltero,0
65.1,155.7,67.0,22.0,soltero,1
51.9,172.5,74.0,16.8,soltero,1
66.6,170.7,73.0,17.9,soltero,1
,168.2,22.0,17.6,soltero,1
61.1,191.4,72.0,10.5,soltero,0
81.2,155.1,22.0,15.5,soltero,0
80.8,167.3,51.0,15.6,casado,0
70.2,178.6,38.0,15.1,divorciado,1
58.2,174.8,57.0,12.0,soltero,0
63.9,159.7,31.0,15.9,soltero,1
84.8,173.6,41.0,15.2,casado,0
60.0,154.2,40.0,17.1,soltero,1
100.5,200.7,55.0,14.6,soltero,0
82.0,183.2,72.0,15.6,casado,0
59.5,165.5,60.0,17.3,soltero,1
67.6,180.1,58.0,12.3,casado,0
56.4,170.6,61.0,17.1,casado,1
108.1,168.8,28.0,18.4,casado,0
61.0,166.8,18.0,14.6,casado,1
84.6,166.4,53.0,16.7,soltero,0
87.3,161.7,23.0,14.2,casado,0
73.7,160.9,72.0,22.5,divorciado,1
94.2,161.2,49.0,19.1,casado,0
83.0,182.1,22.0,11.8,soltero,0
70.3,150.9,62.0,22.8,casado,1
89.4,172.4,20.0,13.5,casado,0
76.5,181.8,51.0,13.2,casado,0
73.9,177.2,54.0,17.8,soltero,1
50.6,162.6,67.0,16.7,casado,1
87.6,174.8,64.0,22.2,soltero,1
81.6,158.5,20.0,18.8,casado,1
71.3,167.7,53.0,13.7,soltero,0
72.8,149.5,31.0,21.9,divorciado,1
88.6,170.7,44.0,16.1,casado,0
61.2,167.7,71.0,15.8,soltero,0
66.7,185.8,70.0,12.9,casado,0
67.8,193.5,69.0,11.1,casado,0
62.6,177.6,47.0,15.1,soltero,1
79.8,177.0,52.0,14.7,casado,0
80.8,156.6,37.0,17.5,divorciado,0
95.1,,54.0,20.9,casado,0
76.4,168.9,24.0,17.5,casado,1
93.0,154.8,36.0,24.8,soltero,1
103.9,167.2,40.0,18.3,casado,0
71.2,165.2,59.0,15.0,casado,0
76.0,186.2,62.0,13.7,soltero,0
52.8,167.6,40.0,14.6,soltero,1
90.6,177.8,53.0,16.2,casado,0
64.7,170.4,31.0,14.9,soltero,1
51.1,162.0,20.0,12.7,soltero,1
76.4,172.0,26.0,11.9,soltero,0
65.9,141.4,35.0,21.3,casado,1
81.1,161.7,72.0,23.6,casado,1
102.1,162.8,54.0,22.2,soltero,0
66.6,167.9,50.0,13.4,casado,0
65.7,199.9,37.0,7.5,soltero,0
68.8,196.4,53.0,10.8,soltero,0
57.1,175.0,65.0,16.0,casado,1
97.6,177.2,69.0,19.0,casado,0
93.8,175.4,61.0,18.5,soltero,0
53.1,183.7,64.0,9.8,soltero,0
85.7,185.3,47.0,13.8,casado,0
55.3,170.7,54.0,15.3,divorciado,1
64.6,165.6,74.0,21.3,,1
56.0,167.5,66.0,18.1,soltero,1
65.3,174.8,56.0,11.7,casado,0
77.8,162.6,26.0,14.2,casado,0
55.5,164.1,60.0,18.3,soltero,1
48.3,181.8,70.0,16.0,soltero,1
83.1,171.1,72.0,17.8,casado,0
77.0,141.0,32.0,23.7,casado,1
70.7,167.9,70.0,19.9,soltero,1
64.3,155.5,64.0,20.8,soltero,1
51.0,179.0,57.0,8.7,soltero,0
76.5,170.1,42.0,13.1,soltero,0
89.7,186.1,68.0,15.8,casado,0
52.6,152.2,45.0,17.0,soltero,1
90.4,147.0,30.0,26.0,soltero,1
76.9,164.3,30.0,18.1,divorciado,1
86.7,157.2,41.0,17.9,soltero,0
69.9,150.9,68.0,23.2,casado,1
87.3,178.8,54.0,15.3,casado,0
50.0,180.6,44.0,7.1,soltero,0
40.0,169.0,43.0,11.1,casado,1
52.8,165.1,48.0,15.9,soltero,1
45.0,159.3,37.0,12.1,soltero,1
250.53955302413874,175.3,50.0,58.75874318520905,soltero,0
60.4,146.5,47.0,20.3,soltero,1
81.1,176.4,27.0,11.9,casado,0
91.1,180.4,19.0,11.2,casado,0
62.6,166.7,26.0,15.3,soltero,1
74.2,175.3,19.0,14.5,casado,1
41.2,156.7,59.0,15.2,soltero,1
51.6,172.8,46.0,13.6,casado,1
81.4,165.2,43.0,15.2,soltero,0
68.7,164.4,52.0,19.9,soltero,1
42.1,154.1,34.0,12.2,soltero,1
52.9,160.3,,15.7,soltero,1
80.2,163.7,41.0,19.8,casado,1
50.7,160.4,18.0,12.5,soltero,1
41.8,144.7,37.0,13.7,soltero,1
70.3,169.5,46.0,18.7,casado,1
