Student ID,Student Country,Question ID,Type of Answer,Question Level,Topic,Subtopic,Student Age,Response Time (s)
651,Ireland,79,0,Basic,Statistics,Statistics,24.0,48.0
1505,Portugal,79,1,Basic,Statistics,Statistics,22.0,30.0
664,Portugal,79,0,Basic,Statistics,Statistics,19.0,77.0
699,Portugal,79,0,Basic,Statistics,Statistics,33.0,78.0
67,Portugal,79,0,Basic,Statistics,Statistics,21.0,62.0
57,Portugal,79,0,Basic,Statistics,Statistics,27.0,59.0
57,Portugal,79,0,Basic,Statistics,Statistics,27.0,28.0
675,Portugal,79,1,Basic,Statistics,Statistics,21.0,43.0
679,Portugal,79,0,Basic,Statistics,Statistics,28.0,50.0
638,Italy,79,0,Basic,Statistics,Statistics,27.0,64.0
913,Ireland,80,1,Basic,Statistics,Statistics,19.0,87.0
646,Ireland,80,0,Basic,Statistics,Statistics,,49.0
641,Italy,80,0,Basic,Statistics,Statistics,18.0,44.0
695,Portugal,80,0,Basic,Statistics,Statistics,39.0,79.0
700,Portugal,80,0,Basic,Statistics,Statistics,20.0,57.0
675,Portugal,80,1,Basic,Statistics,Statistics,21.0,32.0
659,Portugal,80,0,Basic,Statistics,Statistics,23.0,84.0
642,Italy,80,0,Basic,Statistics,Statistics,23.0,42.0
637,Italy,80,0,Basic,Statistics,Statistics,18.0,48.0
643,Italy,80,0,Basic,Statistics,Statistics,24.0,39.0
741,Ireland,81,0,Basic,Statistics,Statistics,29.0,67.0
647,Ireland,81,0,Basic,Statistics,Statistics,28.0,81.0
674,Ireland,81,0,Basic,Statistics,Statistics,25.0,52.0
713,Portugal,81,0,Basic,Statistics,Statistics,21.0,67.0
41,Portugal,81,0,Basic,Statistics,Statistics,20.0,50.0
669,Portugal,81,0,Basic,Statistics,Statistics,18.0,106.0
1505,Portugal,81,1,Basic,Statistics,Statistics,22.0,
668,Portugal,81,1,Basic,Statistics,Statistics,20.0,48.0
695,Portugal,81,1,Basic,Statistics,Statistics,39.0,70.0
699,Portugal,81,0,Basic,Statistics,Statistics,33.0,78.0
661,Portugal,81,1,Basic,Statistics,Statistics,21.0,68.0
667,Portugal,81,1,Basic,Statistics,Statistics,25.0,44.0
638,Italy,81,1,Basic,Statistics,Statistics,27.0,56.0
1026,,82,0,Basic,Differentiation,Derivatives,25.0,74.0
175,Italy,82,0,Basic,Differentiation,Derivatives,21.0,68.0
626,Italy,82,0,Basic,Differentiation,Derivatives,39.0,42.0
349,Portugal,82,0,Basic,Differentiation,Derivatives,21.0,68.0
174,Portugal,82,0,Basic,Differentiation,Derivatives,21.0,39.0
1564,Portugal,82,0,Basic,Differentiation,Derivatives,24.0,28.0
407,Portugal,82,0,Basic,Differentiation,Derivatives,18.0,63.0
411,Portugal,82,0,Basic,Differentiation,Derivatives,21.0,79.0
155,Spain,82,0,Basic,Differentiation,Derivatives,26.0,68.0
240,Lithuania,83,1,Basic,Real Functions of a single variable,Domain,25.0,89.0
626,Italy,83,1,Basic,Real Functions of a single variable,Domain,39.0,94.0
750,Portugal,83,0,Basic,Real Functions of a single variable,Domain,20.0,67.0
1509,Portugal,83,1,Basic,Real Functions of a single variable,Domain,19.0,47.0
1557,Portugal,83,1,Basic,Real Functions of a single variable,Domain,22.0,59.0
1557,Portugal,83,0,Basic,Real Functions of a single variable,Domain,22.0,31.0
181,Italy,83,0,Basic,Real Functions of a single variable,Domain,20.0,59.0
181,Italy,83,0,Basic,Real Functions of a single variable,Domain,20.0,58.0
351,Portugal,84,1,Basic,Real Functions of a single variable,Domain,25.0,63.0
1564,Portugal,84,1,Basic,Real Functions of a single variable,Limits and Continuity,24.0,81.0
181,Italy,84,0,Basic,Real Functions of a single variable,Domain,20.0,30.0
1565,Portugal,85,0,Basic,Real Functions of a single variable,Limits and Continuity,19.0,75.0
1481,Portugal,85,0,Basic,Real Functions of a single variable,Limits and Continuity,20.0,49.0
1557,Portugal,86,1,Advanced,Real Functions of a single variable,Domain,22.0,95.0
552,Portugal,87,0,Advanced,Real Functions of a single variable,Limits and Continuity,27.0,83.0
1557,Portugal,87,1,Advanced,Real Functions of a single variable,Limits and Continuity,22.0,59.0
1557,Portugal,87,0,Advanced,Real Functions of a single variable,Limits and Continuity,22.0,97.0
1557,Portugal,87,0,Advanced,Real Functions of a single variable,Limits and Continuity,22.0,65.0
854,Italy,88,1,Basic,Linear Algebra,Linear Systems,23.0,70.0
854,Italy,88,1,Basic,Linear Algebra,Linear Systems,23.0,48.0
26,Portugal,88,1,Basic,Linear Algebra,Linear Systems,28.0,50.0
511,Portugal,88,1,Basic,Linear Algebra,Linear Systems,36.0,62.0
973,Portugal,88,1,Basic,Linear Algebra,Linear Systems,27.0,98.0
411,Portugal,88,0,Basic,Linear Algebra,Linear Systems,21.0,73.0
852,Italy,88,0,Basic,Linear Algebra,Linear Systems,19.0,59.0
852,Italy,88,1,Basic,Linear Algebra,Linear Systems,19.0,93.0
852,Italy,88,0,Basic,Linear Algebra,Linear Systems,19.0,60.0
988,Portugal,89,0,Basic,Linear Algebra,Linear Systems,23.0,54.0
988,Portugal,89,1,Basic,Linear Algebra,Linear Systems,23.0,40.0
854,Italy,89,0,Basic,Linear Algebra,Linear Systems,23.0,63.0
860,Italy,89,1,Basic,Linear Algebra,Linear Systems,22.0,62.0
510,Portugal,89,0,Basic,,Linear Systems,21.0,46.0
979,Portugal,89,0,Basic,Linear Algebra,Linear Systems,25.0,30.0
509,Portugal,89,1,Basic,Linear Algebra,Linear Systems,27.0,57.0
511,Portugal,89,0,Basic,Linear Algebra,Linear Systems,36.0,62.0
406,Portugal,89,1,Basic,Linear Algebra,Linear Systems,24.0,52.0
406,Portugal,89,0,Basic,Linear Algebra,Linear Systems,24.0,40.0
411,Portugal,89,1,Basic,,Linear Systems,21.0,38.0
852,Italy,89,1,Basic,Linear Algebra,Linear Systems,19.0,50.0
852,Italy,89,1,Basic,Linear Algebra,Linear Systems,19.0,87.0
600,Italy,89,0,Basic,Linear Algebra,Linear Systems,19.0,63.0
853,Italy,89,1,Basic,Linear Algebra,Linear Systems,24.0,29.0
853,Italy,89,1,Basic,Linear Algebra,Linear Systems,24.0,72.0
1248,Italy,90,1,Basic,Linear Algebra,Linear Systems,18.0,51.0
855,Italy,90,0,Basic,Linear Algebra,Linear Systems,19.0,106.0
855,Italy,90,1,Basic,Linear Algebra,Linear Systems,19.0,53.0
510,Portugal,90,1,Basic,Linear Algebra,Linear Systems,21.0,58.0
509,Portugal,90,0,Basic,Linear Algebra,Linear Systems,27.0,63.0
525,Portugal,90,1,Basic,Linear Algebra,Linear Systems,29.0,65.0
986,Portugal,90,1,Basic,Linear Algebra,Linear Systems,21.0,61.0
406,Portugal,90,1,Basic,Linear Algebra,Linear Systems,24.0,61.0
414,Portugal,90,1,Basic,Linear Algebra,Linear Systems,19.0,55.0
852,Italy,90,0,Basic,Linear Algebra,Linear Systems,19.0,48.0
28,Portugal,90,1,Basic,Linear Algebra,Linear Systems,23.0,52.0
853,Italy,90,1,Basic,Linear Algebra,Linear Systems,24.0,36.0
853,Italy,90,1,Basic,Linear Algebra,Linear Systems,24.0,49.0
72,Portugal,90,0,Basic,Linear Algebra,Linear Systems,24.0,46.0
988,Portugal,91,1,Basic,Linear Algebra,Linear Systems,23.0,51.0
988,Portugal,91,1,Basic,Linear Algebra,Linear Systems,23.0,51.0
1248,Italy,91,1,Basic,Linear Algebra,Linear Systems,18.0,57.0
855,Italy,91,0,Basic,Linear Algebra,Linear Systems,19.0,69.0
855,Italy,91,0,Basic,Linear Algebra,Linear Systems,19.0,53.0
511,Portugal,91,1,Basic,Linear Algebra,Linear Systems,36.0,61.0
511,Portugal,91,0,Basic,Linear Algebra,Linear Systems,36.0,65.0
406,Portugal,91,0,Basic,Linear Algebra,Linear Systems,24.0,53.0
414,Portugal,91,1,Basic,Linear Algebra,Linear Systems,19.0,57.0
414,Portugal,91,1,Basic,Linear Algebra,Linear Systems,19.0,67.0
852,Italy,91,1,Basic,Linear Algebra,Linear Systems,19.0,30.0
852,Italy,91,1,Basic,Linear Algebra,Linear Systems,19.0,73.0
598,Italy,91,0,Basic,Linear Algebra,Linear Systems,19.0,50.0
854,Italy,92,1,Basic,Linear Algebra,Linear Systems,23.0,32.0
510,Portugal,92,0,Basic,Linear Algebra,Linear Systems,21.0,70.0
524,Portugal,92,0,Basic,Linear Algebra,Linear Systems,23.0,35.0
26,Portugal,92,1,Basic,Linear Algebra,Linear Systems,28.0,77.0
511,Portugal,92,1,Basic,Linear Algebra,Linear Systems,36.0,40.0
509,Portugal,92,0,Basic,Linear Algebra,Linear Systems,27.0,55.0
406,Portugal,92,1,Basic,Linear Algebra,Linear Systems,24.0,73.0
414,Portugal,92,0,Basic,Linear Algebra,Linear Systems,19.0,44.0
411,Portugal,92,1,Basic,Linear Algebra,Linear Systems,21.0,40.0
853,Italy,92,1,Basic,Linear Algebra,Linear Systems,24.0,57.0
625,Russian Federation,92,1,Basic,Linear Algebra,Linear Systems,20.0,87.0
239,Lithuania,93,0,Basic,Differentiation,Derivatives,18.0,81.0
1049,Lithuania,93,0,Basic,Differentiation,Derivatives,33.0,88.0
483,Portugal,93,1,Basic,Differentiation,Derivatives,18.0,67.0
352,Portugal,93,0,Basic,Differentiation,Derivatives,22.0,69.0
64,Portugal,93,1,Basic,Differentiation,Derivatives,21.0,81.0
176,Italy,93,1,Basic,Differentiation,Derivatives,23.0,71.0
165,Portugal,94,1,Basic,Differentiation,Derivatives,27.0,43.0
626,Italy,94,0,Basic,Differentiation,Derivatives,39.0,
349,Portugal,94,1,Basic,Differentiation,Derivatives,21.0,
349,Portugal,94,0,Basic,Differentiation,Derivatives,21.0,43.0
918,Portugal,94,1,Basic,Differentiation,Derivatives,23.0,62.0
64,Portugal,94,1,Basic,Differentiation,Derivatives,21.0,58.0
411,Portugal,94,0,Basic,Differentiation,Derivatives,21.0,77.0
178,Italy,94,0,Basic,Differentiation,Derivatives,23.0,65.0
634,Italy,94,0,Basic,Differentiation,Derivatives,18.0,51.0
239,Lithuania,95,1,Basic,Differentiation,Derivatives,18.0,58.0
175,Italy,95,0,Basic,Differentiation,Derivatives,21.0,48.0
985,Romania,95,1,Basic,Differentiation,Derivatives,24.0,53.0
349,Portugal,95,0,Basic,Differentiation,Derivatives,21.0,85.0
918,Portugal,95,0,Basic,Differentiation,Derivatives,23.0,68.0
155,Spain,96,0,Basic,Differentiation,Derivatives,26.0,52.0
1049,Lithuania,97,1,Basic,Differentiation,Derivatives,33.0,53.0
175,Italy,97,0,Basic,Differentiation,,21.0,48.0
71,Portugal,97,1,Basic,Differentiation,Derivatives,19.0,56.0
1564,Portugal,97,0,Basic,Differentiation,Derivatives,24.0,30.0
407,Portugal,97,0,Basic,Differentiation,Derivatives,18.0,72.0
37,Portugal,97,1,Basic,Differentiation,Derivatives,22.0,54.0
177,Italy,97,1,Basic,Differentiation,Derivatives,18.0,73.0
176,Italy,97,0,Basic,Differentiation,Derivatives,23.0,79.0
344,Portugal,98,1,Basic,Differentiation,Derivatives,20.0,66.0
165,Portugal,98,1,Basic,Differentiation,Derivatives,27.0,39.0
175,Italy,98,0,Basic,Differentiation,Derivatives,21.0,35.0
483,Portugal,98,1,Basic,Differentiation,Derivatives,18.0,76.0
174,Portugal,98,1,Basic,Differentiation,Derivatives,21.0,76.0
177,Italy,98,0,Basic,Differentiation,Derivatives,18.0,32.0
176,Italy,98,0,Basic,Differentiation,Derivatives,23.0,41.0
351,Portugal,100,1,Basic,Differentiation,Derivatives,25.0,81.0
1049,,100,0,Basic,Differentiation,Derivatives,33.0,61.0
344,Portugal,100,0,Basic,Differentiation,Derivatives,20.0,100.0
985,Romania,100,1,Basic,Differentiation,Derivatives,24.0,70.0
483,Portugal,100,0,Basic,Differentiation,Derivatives,18.0,78.0
352,Portugal,100,0,Basic,Differentiation,Derivatives,22.0,58.0
71,Portugal,100,1,Basic,Differentiation,Derivatives,19.0,51.0
407,Portugal,100,0,Basic,Differentiation,Derivatives,18.0,31.0
351,Portugal,101,0,Advanced,Differentiation,Derivatives,25.0,30.0
41,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,82.0
351,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,25.0,75.0
351,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,25.0,49.0
351,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,25.0,81.0
203,Lithuania,102,0,Basic,Fundamental Mathematics,Algebraic expressions,28.0,30.0
344,Portugal,102,0,,Fundamental Mathematics,Algebraic expressions,20.0,91.0
510,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,21.0,69.0
510,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,21.0,93.0
510,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,21.0,29.0
524,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,23.0,88.0
197,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,78.0
1274,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,66.0
525,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,,42.0
525,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,29.0,67.0
525,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,65.0
1379,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,21.0,47.0
151,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,32.0
151,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,38.0
151,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,49.0
176,Italy,102,1,Basic,Fundamental Mathematics,Algebraic expressions,23.0,82.0
204,Lithuania,102,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,83.0
625,Russian Federation,102,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,93.0
625,Russian Federation,102,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,69.0
625,Russian Federation,102,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,31.0
625,Russian Federation,102,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,45.0
41,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,36.0
351,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,25.0,54.0
201,Lithuania,104,1,Basic,Fundamental Mathematics,Algebraic expressions,,87.0
199,Lithuania,104,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,56.0
175,Italy,104,1,Basic,Fundamental Mathematics,Algebraic expressions,21.0,51.0
1518,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,70.0
524,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,74.0
524,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,79.0
524,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,41.0
1274,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,42.0
406,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,24.0,50.0
1379,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,21.0,74.0
71,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,19.0,63.0
160,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,26.0,40.0
405,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,19.0,97.0
151,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,49.0
151,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,57.0
151,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,58.0
151,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,43.0
176,Italy,104,1,Basic,Fundamental Mathematics,Algebraic expressions,23.0,59.0
204,Lithuania,104,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,61.0
41,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,65.0
351,Portugal,108,1,Basic,Fundamental Mathematics,Algebraic expressions,25.0,66.0
351,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,25.0,49.0
202,Lithuania,108,0,Basic,Fundamental Mathematics,Algebraic expressions,26.0,41.0
199,Lithuania,108,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,81.0
200,Lithuania,108,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,55.0
524,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,81.0
483,Portugal,108,1,Basic,Fundamental Mathematics,Algebraic expressions,18.0,69.0
1274,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,113.0
406,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,24.0,58.0
509,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,32.0
511,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,36.0,53.0
525,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,29.0,84.0
1379,Portugal,108,1,Basic,Fundamental Mathematics,Algebraic expressions,21.0,98.0
64,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,21.0,95.0
219,Lithuania,108,0,Basic,Fundamental Mathematics,Algebraic expressions,18.0,73.0
151,,108,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,92.0
151,Portugal,108,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,40.0
151,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,48.0
151,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,41.0
176,Italy,108,1,Basic,Fundamental Mathematics,Algebraic expressions,23.0,72.0
204,Lithuania,108,1,Basic,Fundamental Mathematics,Algebraic expressions,20.0,86.0
204,Lithuania,108,1,Basic,Fundamental Mathematics,Algebraic expressions,20.0,61.0
625,Russian Federation,108,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,69.0
41,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,51.0
351,Portugal,112,1,Basic,Fundamental Mathematics,Algebraic expressions,25.0,53.0
203,Lithuania,112,1,Basic,Fundamental Mathematics,Algebraic expressions,28.0,63.0
200,Lithuania,112,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,91.0
524,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,70.0
483,Portugal,112,1,Basic,Fundamental Mathematics,Algebraic expressions,18.0,71.0
1274,Portugal,112,1,Basic,Fundamental Mathematics,Algebraic expressions,22.0,82.0
511,Portugal,112,1,Basic,Fundamental Mathematics,Algebraic expressions,36.0,73.0
525,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,29.0,46.0
525,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,29.0,95.0
359,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,58.0
151,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,61.0
151,Portugal,112,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,59.0
151,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,72.0
151,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,56.0
176,Italy,112,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,68.0
177,Italy,112,0,Basic,Fundamental Mathematics,Algebraic expressions,18.0,95.0
625,Russian Federation,112,1,Basic,Fundamental Mathematics,Algebraic expressions,20.0,45.0
624,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,29.0
41,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,86.0
218,Lithuania,113,0,Basic,Fundamental Mathematics,Algebraic expressions,29.0,66.0
200,Lithuania,113,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,74.0
985,Romania,113,1,,Fundamental Mathematics,Algebraic expressions,24.0,74.0
510,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,21.0,53.0
510,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,21.0,64.0
524,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,23.0,29.0
197,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,58.0
483,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,18.0,62.0
1274,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,36.0
525,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,29.0,46.0
151,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,57.0
151,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,66.0
151,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,56.0
151,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,87.0
151,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,74.0
176,Italy,113,1,Basic,Fundamental Mathematics,Algebraic expressions,23.0,76.0
625,Russian Federation,113,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,30.0
625,Russian Federation,113,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,52.0
41,Portugal,114,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,64.0
351,Portugal,114,0,Basic,Fundamental Mathematics,Algebraic expressions,25.0,52.0
218,Lithuania,114,0,Basic,Fundamental Mathematics,Algebraic expressions,29.0,64.0
201,Lithuania,114,1,Basic,Fundamental Mathematics,Algebraic expressions,19.0,48.0
199,Lithuania,114,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,43.0
81,Lithuania,114,1,Basic,Fundamental Mathematics,Algebraic expressions,26.0,59.0
156,Lithuania,114,0,Basic,Fundamental Mathematics,Algebraic expressions,25.0,61.0
175,Italy,114,0,Basic,Fundamental Mathematics,Algebraic expressions,21.0,54.0
985,Romania,114,0,Basic,Fundamental Mathematics,Algebraic expressions,24.0,59.0
483,Portugal,114,0,Basic,Fundamental Mathematics,Algebraic expressions,18.0,79.0
1274,Portugal,114,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,70.0
406,Portugal,114,0,Basic,Fundamental Mathematics,Algebraic expressions,24.0,76.0
509,Portugal,114,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,72.0
525,Portugal,114,0,Basic,Fundamental Mathematics,Algebraic expressions,29.0,62.0
71,Portugal,114,1,Basic,Fundamental Mathematics,Algebraic expressions,19.0,53.0
151,Portugal,114,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,96.0
151,Portugal,114,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,63.0
151,Portugal,114,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,76.0
151,Portugal,114,1,Basic,Fundamental Mathematics,,27.0,48.0
142,Portugal,114,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,32.0
204,Lithuania,114,1,Basic,Fundamental Mathematics,Algebraic expressions,20.0,36.0
625,Russian Federation,114,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,54.0
624,Portugal,114,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,37.0
131,Lithuania,117,0,Advanced,Fundamental Mathematics,Algebraic expressions,18.0,96.0
91,Lithuania,117,1,Advanced,Fundamental Mathematics,Algebraic expressions,27.0,72.0
625,Russian Federation,117,0,Advanced,Fundamental Mathematics,Algebraic expressions,20.0,71.0
625,Russian Federation,117,0,Advanced,Fundamental Mathematics,Algebraic expressions,20.0,113.0
41,Portugal,118,0,Basic,Fundamental Mathematics,Algebraic expressions,20.0,53.0
351,Portugal,118,0,Basic,Fundamental Mathematics,Algebraic expressions,25.0,51.0
351,Portugal,118,0,Basic,Fundamental Mathematics,Algebraic expressions,25.0,114.0
218,Lithuania,118,1,Basic,Fundamental Mathematics,Algebraic expressions,29.0,69.0
203,Lithuania,118,1,Basic,Fundamental Mathematics,Algebraic expressions,28.0,62.0
200,Lithuania,118,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,52.0
81,Lithuania,118,0,Basic,Fundamental Mathematics,Algebraic expressions,26.0,86.0
524,Portugal,118,1,Basic,Fundamental Mathematics,Algebraic expressions,23.0,84.0
524,Portugal,118,1,Basic,Fundamental Mathematics,Algebraic expressions,23.0,29.0
197,Portugal,118,0,Basic,Fundamental Mathematics,Algebraic expressions,22.0,60.0
1274,Portugal,118,1,Basic,Fundamental Mathematics,Algebraic expressions,22.0,66.0
511,,118,1,Basic,Fundamental Mathematics,Algebraic expressions,36.0,72.0
1379,Portugal,118,1,Basic,Fundamental Mathematics,Algebraic expressions,21.0,35.0
71,Portugal,118,0,Basic,Fundamental Mathematics,Algebraic expressions,19.0,60.0
64,Portugal,118,0,Basic,Fundamental Mathematics,Algebraic expressions,21.0,95.0
160,Portugal,118,0,Basic,Fundamental Mathematics,Algebraic expressions,26.0,84.0
405,Portugal,118,0,Basic,Fundamental Mathematics,Algebraic expressions,19.0,41.0
151,Portugal,118,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,67.0
151,Portugal,118,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,46.0
151,Portugal,118,1,Basic,Fundamental Mathematics,Algebraic expressions,27.0,77.0
151,Portugal,118,0,Basic,Fundamental Mathematics,Algebraic expressions,27.0,30.0
176,Italy,118,1,Basic,Fundamental Mathematics,Algebraic expressions,23.0,79.0
176,Italy,118,0,Basic,Fundamental Mathematics,Algebraic expressions,23.0,66.0
198,Italy,118,1,Basic,Fundamental Mathematics,Algebraic expressions,18.0,82.0
